ID_Pedido,Fecha_Venta,ID_Cliente,RestauranteID,Cod_Prod,Cant,Precio_Unit,Desc_Pct,Total_Venta,Tiempo_Entrega
PED001,15/03/2024,C005,R012,PRD001,2,9250,0,18500,35
PED002,15/03/2024,C005,R008,PRD006,1,12900,0,12900,28
PED003,16/03/2024,C011,R012,PRD002,2,11000,0,22000,-12
PED004,16/03/2024,C019,R003,PRD008,1,9500,0,9500,42
PED005,17/03/2024,C005,R008,PRD007,2,7600,0,0,31
PED006,17/03/2024,C011,R003,PRD009,1,8700,0,8700,55
PED007,10/01/2024,C011,R007,PRD014,2,6500,0,13000,45
PED008,11/01/2024,C008,R008,PRD007,2,7600,10,13680,51
PED009,14/01/2024,C008,R007,PRD016,1,5500,0,5500,38
PED010,14/01/2024,C011,R012,PRD001,1,9250,10,0,22
PED011,14/01/2024,C013,R017,PRD004,1,9000,0,9000,28
PED012,18/01/2024,C008,R003,PRD010,1,2500,10,2250,41
PED013,18/01/2024,C002,R003,PRD008,2,9500,10,17100,28
PED014,18/01/2024,C013,R005,PRD011,2,9500,0,19000,43
PED015,19/01/2024,C001,R012,PRD003,1,9500,0,-9500,55
PED016,22/01/2024,C001,R017,PRD004,1,9000,20,7200,23
PED017,22/01/2024,C003,R007,PRD015,2,8000,20,12800,22
PED018,22/01/2024,C005,R008,PRD006,2,12900,10,23220,18
PED019,23/01/2024,C014,R003,PRD008,1,9500,0,9500,33
PED020,23/01/2024,C003,R008,PRD005,1,8900,10,8010,50
PED021,23/01/2024,C005,R012,PRD003,2,9500,10,17100,53
PED022,23/01/2024,C011,R007,PRD014,1,6500,10,5850,31
PED023,24/01/2024,C013,R007,PRD015,2,8000,0,16000,52
PED024,25/01/2024,C002,R007,PRD015,2,8000,10,14400,20
PED025,26/01/2024,C002,R012,PRD001,1,9250,10,8325,49
PED026,30/01/2024,C014,R007,PRD016,2,5500,20,8800,27
PED027,30/01/2024,C013,R007,PRD016,1,5500,20,4400,27
PED028,02/02/2024,C010,R012,PRD001,1,9250,20,7400,50
PED029,03/02/2024,C006,R008,PRD006,2,12900,0,25800,53
PED030,03/02/2024,C019,R007,PRD016,1,5500,0,5500,45
PED031,05/02/2024,C008,R007,PRD015,2,8000,0,16000,28
PED032,05/02/2024,C012,R012,PRD001,2,9250,0,18500,44
PED033,06/02/2024,C014,R017,PRD004,1,9000,0,9000,20
PED034,08/02/2024,C013,R008,PRD005,2,8900,0,17800,47
PED035,10/02/2024,C002,R012,PRD001,1,9250,10,8325,43
PED036,12/02/2024,C008,R017,PRD004,1,9000,0,9000,34
PED037,15/02/2024,C005,R005,PRD012,1,11000,0,11000,24
PED038,16/02/2024,C019,R012,PRD002,2,11000,10,19800,38
PED039,17/02/2024,C014,R017,PRD004,2,9000,0,18000,34
PED040,17/02/2024,C005,R003,PRD008,1,9500,0,9500,36
PED041,17/02/2024,C019,R003,PRD010,1,2500,10,2250,38
PED042,18/02/2024,C011,R007,PRD016,1,5500,0,5500,45
PED043,21/02/2024,C015,R017,PRD004,1,9000,20,7200,22
PED044,22/02/2024,C009,R012,PRD002,1,11000,0,11000,33
PED045,22/02/2024,C015,R003,PRD010,2,2500,10,4500,21
PED046,23/02/2024,C005,R003,PRD010,2,2500,0,5000,50
PED047,25/02/2024,C010,R012,PRD001,1,9250,0,9250,49
PED048,26/02/2024,C004,R012,PRD003,2,9500,10,17100,37
PED049,27/02/2024,C007,R007,PRD014,1,6500,0,6500,39
PED050,28/02/2024,C009,R005,PRD012,2,11000,0,22000,28
