order_id,fecha,mes,año,trimestre,cliente_id,region,canal_venta,product_id,nombre_producto,categoria,cantidad,precio_unitario,descuento_pct,venta_neta,margen_pct
10001,2023-09-21,9,2023,T3,170,RM,Web,2008,Gorra,Ropa,2,10791,10,21582,67.6
10001,2023-09-21,9,2023,T3,170,RM,Web,1008,Disco Duro Externo 1TB,Electrónica,1,54990,0,54990,60.0
10002,2023-04-12,4,2023,T2,38,Biobío,App móvil,2003,Parka Impermeable,Ropa,3,56990,5,170970,59.6
10003,2023-02-07,2,2023,T1,117,RM,App móvil,3005,Cojín Decorativo,Hogar,1,10791,10,10791,67.6
10004,2023-07-16,7,2023,T3,127,RM,App móvil,1008,Disco Duro Externo 1TB,Electrónica,1,54990,0,54990,60.0
10005,2023-02-24,2,2023,T1,200,La Araucanía,App móvil,1005,Teclado Mecánico,Electrónica,2,75990,5,151980,57.9
10006,2023-08-26,8,2023,T3,13,RM,Web,1005,Teclado Mecánico,Electrónica,1,79990,0,79990,60.0
10006,2023-08-26,8,2023,T3,13,RM,Web,3004,Lámpara LED Escritorio,Hogar,1,23740,5,23740,62.1
10007,2023-06-12,6,2023,T2,194,Antofagasta,Web,3004,Lámpara LED Escritorio,Hogar,1,21242,15,21242,57.6
10007,2023-06-12,6,2023,T2,194,Antofagasta,Web,4001,Mochila Urban,Accesorios,1,39990,0,39990,65.0
10007,2023-06-12,6,2023,T2,194,Antofagasta,Web,3005,Cojín Decorativo,Hogar,2,11990,0,23980,70.8
10008,2023-05-07,5,2023,T2,164,Antofagasta,Web,4005,Pulsera Silicona,Accesorios,1,7590,5,7590,80.2
10009,2023-05-21,5,2023,T2,113,Valparaíso,Web,2005,Poleron Algodón,Ropa,1,24990,0,24990,66.0
10010,2023-10-04,10,2023,T4,21,La Araucanía,App móvil,2005,Poleron Algodón,Ropa,1,24990,0,24990,66.0
10011,2023-04-20,4,2023,T2,17,RM,Web,2003,Parka Impermeable,Ropa,1,59990,0,59990,61.7
10012,2023-04-16,4,2023,T2,108,RM,App móvil,4005,Pulsera Silicona,Accesorios,1,7590,5,7590,80.2
10013,2023-10-22,10,2023,T4,98,Valparaíso,Web,2001,Polera Básica,Ropa,1,12990,0,12990,69.2
10014,2023-08-03,8,2023,T3,138,Maule,App móvil,3008,Alfombra 120x80,Hogar,2,44990,0,89980,60.0
10014,2023-08-03,8,2023,T3,138,Maule,App móvil,3002,Juego de Camas 2P,Hogar,1,29990,0,29990,63.3
10015,2023-07-19,7,2023,T3,87,O'Higgins,Web,2007,Calcetines Pack 3,Ropa,1,5990,0,5990,69.9
10015,2023-07-19,7,2023,T3,87,O'Higgins,Web,4006,Porta Notebook,Accesorios,1,23740,5,23740,66.3
10016,2023-01-14,1,2023,T1,101,RM,Web,4007,Paraguas Compacto,Accesorios,1,14990,0,14990,70.0
10016,2023-01-14,1,2023,T1,101,RM,Web,1004,Mouse Inalámbrico,Electrónica,2,24990,0,49980,64.0
10017,2023-05-14,5,2023,T2,98,Valparaíso,Web,3002,Juego de Camas 2P,Hogar,1,26991,10,26991,59.2
10018,2023-07-14,7,2023,T3,72,Coquimbo,App móvil,2008,Gorra,Ropa,2,11990,0,23980,70.8
10018,2023-07-14,7,2023,T3,72,Coquimbo,App móvil,2003,Parka Impermeable,Ropa,2,59990,0,119980,61.7
10019,2023-06-29,6,2023,T2,58,Maule,App móvil,4008,Lentes de Lectura,Accesorios,1,12990,0,12990,73.1
10019,2023-06-29,6,2023,T2,58,Maule,App móvil,4004,Reloj Digital,Accesorios,1,44991,10,44991,64.4
10020,2023-11-15,11,2023,T4,40,Valparaíso,Web,3005,Cojín Decorativo,Hogar,1,11390,5,11390,69.3
10021,2023-04-22,4,2023,T2,120,RM,Web,4002,Billetera Cuero,Accesorios,1,18990,5,18990,68.4
10021,2023-04-22,4,2023,T2,120,RM,Web,2002,Jeans Slim,Ropa,2,29990,0,59980,63.3
10022,2023-03-25,3,2023,T1,80,RM,App móvil,1003,Parlante Portátil,Electrónica,3,56990,5,170970,56.1
10023,2023-07-12,7,2023,T3,102,Maule,App móvil,2004,Zapatillas Running,Ropa,1,47490,5,47490,60.0
10023,2023-07-12,7,2023,T3,102,Maule,App móvil,1006,"Monitor 24""",Electrónica,1,125991,10,125991,46.0
10023,2023-07-12,7,2023,T3,102,Maule,App móvil,3007,Jarra Filtro Agua,Hogar,2,33240,5,66480,60.9
10024,2023-03-03,3,2023,T1,145,RM,App móvil,2004,Zapatillas Running,Ropa,1,49990,0,49990,62.0
10024,2023-03-03,3,2023,T1,145,RM,App móvil,3002,Juego de Camas 2P,Hogar,1,29990,0,29990,63.3
10025,2023-08-04,8,2023,T3,126,RM,App móvil,2003,Parka Impermeable,Ropa,1,53991,10,53991,57.4
